# Project C: The Clouds — Resources Database
# Generated by Tools → ProjectC → Resources → CSV Import/Export
# This file is the source of truth. .asset files are GENERATED from it.

# block=inventory
itemName,itemType,description,maxStack,weightKg
Ginger Tea,Food,С лимоном и мёдом. Согревающий.,10,0.3
Glass Bottle 0.5L,Equipment,Чистая. Для воды.,5,0.5
Glass Bottle 0.75L,Equipment,Тёмно-зелёная. Для вина.,5,0.5
Glass Jar 0.5L,Equipment,С винтовой крышкой.,5,0.5
Glass Jar 1L,Equipment,С закаточной крышкой.,5,0.5
Glass Measuring Cup,Equipment,1 литр. Деления по 50 мл.,5,0.5
Glass Paperweight,Equipment,С видом Примума.,5,0.5
Glass Syringe 5ml,Medical,С металлическим поршнем. Многоразовый.,10,0.1
Glass Test Tube,Equipment,10 мл. 100 шт. в упаковке.,5,0.5
Glass Thermos 1L,Equipment,В металлическом корпусе. Держит тепло 12 часов.,5,0.5
Glass Vial 50ml,Resources,С притёртой пробкой. Для лекарств.,50,1.0
Glasses Case,Equipment,"Твёрдый, обтянутый кожей.",5,0.5
Glowing Exit Sign,Equipment,Фосфоресцирующая краска на фанеры.,5,0.5
GMAG (Cargo Mezium-Antigrav Generator),Tech,"Усиленная версия МАГ для большегрузных судов и тяжёлых кораблей. Работает по тому же принципу, но с большей мощностью",5,0.5
GMAG Collector Wrench,Tech,С трещоткой. Специальный профиль.,5,0.5
GMAG Grease S-4,Tech,Высокотемпературная литиевая смазка для подшипников коллекторов.,20,1.0
GMAG Socket Wrench,Tech,С трещоткой. Для коллекторных гаек.,5,0.5
GMAG-7,Tech,Грузовой генератор 30 кВт. Для средних паромов.,20,1.0
GMAG-9,Tech,Тяжёлый генератор 75 кВт. Для больших платформ.,20,1.0
Grain Cottage Cheese with Cream,Food,Свежий продукт. В глиняной миске.,10,0.3
Gramophone Record,Equipment,Музыка городов. 78 об/мин.,5,0.5
Granulated Sugar,Food,Рафинированный. В полотняном мешке 2 кг.,20,0.5
Grated Horseradish with Beetroot,Food,Традиционная приправа. Закуска под шнапс.,10,0.3
Gray Cast Iron,Tech,"Для массивных деталей — станин, противовесов, фундаментов генераторов.",20,1.0
Greenhouse Fruits,Food,"Яблоки, груши — привозные из южных угодий.",10,0.3
Grenade,Equipment,Standard explosive grenade. Deals damage in 3m radius.,1,0.1
Groove Joint Pliers,Medical,Для захвата трубок и круглых деталей.,10,0.1
Ground Black Pepper,Food,В стеклянной баночке с вращающейся крышкой.,10,0.3
GS Officer's Cap,Food,Форменный головной убор с высокой тульей и серебряной кокардой. Парадная версия — с плюмажем.,10,0.3
GS Service Trousers,Tech,Прямые брюки с лампасами. Галифе для кавалерии паромов.,5,0.5
GS Wool Peacoat,Equipment,Длинное тёмно-серое пальто с двойным рядом пуговиц. Форма Гильдии Силы.,5,0.5
GS Yuft Boots,Food,Высокие сапоги из толстой юфти. Стальная подкова на каблуке.,10,0.3
GSz Technical Diploma,Equipment,Корочка тёмно-зелёная.,5,0.5
GT Access Token,Food,"Стальной, с выбитым номером отдела.",10,0.3
GT Ceremonial Dagger,Equipment,Холодное оружие с гравировкой. Вручается при посвящении.,5,0.5
GT Guild Beret,Equipment,Мягкий берет тёмно-синего цвета. Эмблема — стилизованное око.,5,0.5
GT Guild Tailcoat,Equipment,Чёрный фрак с серебристой окантовкой. Сотрудники Гильдии Тайн.,5,0.5
GT ID (Red Cover),Equipment,"Документ сотрудника Гильдии Тайн. Фото, номер, подпись куратора.",5,0.5
GU Ball Invitation,Tech,Тиснёная бумага + вензеля.,5,0.5
GU Desk Set,Tech,Пламбница + нож для бумаг + пепельница.,5,0.5
GU Service Jacket,Equipment,Серый пиджак с накладными карманами и петлицами. Для служащих администрации.,5,0.5
Guild Badge,Equipment,Латунный жетон на цепочке. Номер и гильдия.,5,0.5
Guild Badge 10 Years Service,Equipment,Серебро с эмалью. С дубовыми листьями.,5,0.5
Guild Badge 3 Years Service,Equipment,Литая бронза. В виде щита.,5,0.5
Guild Cloth,Resources,"Мелковорсовая плотная ткань. Синяя — для ГТ, серая — для ГС, белая — для ГСз.",50,1.0
Guild Cufflinks,Equipment,"Серебряные, с эмблемой гильдии.",5,0.5
Guild Jacket,Equipment,"Короткий, приталенный. Для сотрудниц ГУ.",5,0.5
Guild Neck Scarf,Equipment,Цветной шёлковый платок под воротник. Цвет обозначает гильдию.,5,0.5
Guild Pennant,Equipment,"Узкий, с эмблемой гильдии.",5,0.5
Guild Shirt,Equipment,Белая хлопковая рубашка с отложным воротником и нашивкой гильдии над грудью.,5,0.5
Guild Shoes,Equipment,Чёрные шнурованные с узким носком. Для чиновников и офицеров.,5,0.5
Guild Signet Ring,Equipment,"Серебро, с гранёной вставкой.",5,0.5
Guild Trousers Suit,Equipment,"Форменная одежда служащих Гильдий. Стандартный костюм с брюками, носится сотрудниками Гильдии Тайн и других Гильдий",5,0.5
Gun Cleaning Kit,Equipment,"Шомпол, ёршик, ветошь в матерчатом свертке.",5,0.5
Gun Oil Can,Equipment,Металлическая маслёнка с узким носиком. Масло МО-1.,5,0.5
Gymnastyorka Tunic,Equipment,Заправляемая рубашка с воротником-стойкой. Полевая форма.,5,0.5
Gyrocompass North-1,Tech,"Механический, с приводом от МАГ.",5,0.5
Hacksaw,Equipment,С рамкой и сменными полотнами.,5,0.5
Hair Hygrometer,Food,Измерение влажности воздуха.,10,0.3
Hand Anemometer,Equipment,Для замера силы ветра на палубе.,5,0.5
Hand Bilge Pump,Equipment,Для откачки конденсата из гондол.,5,0.5
Hand Cargo Cart,Equipment,Двухколёсная. Грузоподъёмность 300 кг.,5,0.5
Hand Chain Hoist,Equipment,Подъём груза до 2 т.,5,0.5
Hand Drill Sturm,Tech,Двухскоростная. Патрон до 10 мм.,5,0.5
Hand Dynamo,Tech,Зарядка аккумулятора вращением. 30 Вт.,5,0.5
Hand Jigsaw,Equipment,Для фигурного выпиливания.,5,0.5
Hand Lamp Beacon-2,Tech,С аккумулятором и линзой. Дальность луча 100 м.,5,0.5
Hand Meat Grinder,Food,"Чугунная, крепится к столу.",10,0.3
Hand Metal Shears,Equipment,Для резки листовой стали до 1 мм.,5,0.5
Hand Mirror,Equipment,"Овальное, в металлической оправе.",5,0.5
Hand Mixer,Equipment,Для взбивания.,5,0.5
Hand Riveter,Equipment,Для алюминиевых и стальных заклёпок.,5,0.5
Hand Sewing Needle No.5,Equipment,Стальная. Для толстых тканей и брезента.,5,0.5
Hand Signal Bell,Equipment,Металлический. Для подачи команд.,5,0.5
Hand Winch 500kg,Equipment,Такелажные работы.,5,0.5
Handkerchief,Equipment,"Хлопковый, белый. Края подшиты.",5,0.5
Handkerchief Set,Equipment,"Белый, с монограммой. Набор 3 шт.",5,0.5
Hanging Cot,Equipment,"Парусиновая, с бортиком. Крепление к потолку.",5,0.5
Hard Drawing Plumb T-3,Food,Грифель высокой твёрдости в стальной оправе. Для разметки металла.,10,0.3
Hard Mountain Cheese,Food,Выдержка 12 месяцев. Сырные фермы Секунда.,10,0.3
Harmonica Tremolo,Equipment,10 отверстий. Строй C.,5,0.5
Hat Felt,Equipment,Из кроличьего пуха. Для фетровых шляп.,5,0.5
Hatch Dog,Equipment,"Латунная, поворотная. 10 шт.",5,0.5
Hatch Handle,Equipment,"Утопленная, для заподлицо с палубой.",5,0.5
Hatch Open Alarm,Tech,Магнитный контакт + зуммер.,5,0.5
Hemostatic Clamp,Equipment,"Прямой, с замком.",5,0.5
Hemp Mooring Line 30mm,Equipment,Конец 50 м. С огоном.,5,0.5
Hemp Rope 12mm,Equipment,Натуральный. Для ручной работы.,5,0.5
Herb Schnapps Edel,Food,Зелёный цвет. Выдержка на горных травах.,10,0.3
Hermetic Transport Container,Equipment,"Металлический, 1×1×1 м.",5,0.5
Homemade Cherry Liqueur,Food,Выдержка на ягодах. 25 %. Производство угодий.,10,0.3
Homemade Pearl Barley Brew,Food,"Мутная, 6–8 %. Варят на фермерских угодьях.",10,0.3
Honey Gingerbread,Food,Глазированный пряник. С новогодними узорами.,10,0.3
Honeycomb,Food,Кусок соты 200 г. С пасек Секунда.,10,0.3
Horn Comb,Equipment,Массажная. Из рога.,5,0.5
Hose Gas Mask,Medical,С подачей чистого воздуха из каюты. Для работы в трюме.,10,0.1
Hourglass 1 min,Equipment,Для варки яиц.,5,0.5
Hourglass 30 min,Equipment,Вахтенные.,5,0.5
Hull Patch,Medical,"Резино-тканевый, 50×50 см. С клеевым слоем.",10,0.1
Hunting Crossbow,Equipment,"Складной, с лебёдкой взведения. Бесшумное оружие для мезия-зон.",5,0.5
Hunting Rifle Mountain Goat,Equipment,Однозарядная винтовка под крупный калибр. Для фермеров.,5,0.5
Hydrogen Peroxide 3%,Medical,Пузырёк 50 мл.,10,0.1
Ice Bag,Equipment,"Резиновый, с широким горлом.",5,0.5
Ice Cream,Equipment,В вафельном стаканчике. Холодильные установки порта.,5,0.5
Ice Storage Form,Equipment,"Металлическая, с крышкой.",5,0.5
Identification Tag,Food,Стальной жетон с номером парома.,10,0.3
Imported Olive Oil,Equipment,Холодный отжим. Для салатов.,20,1.0
Incandescent Lamp 60W,Tech,Цоколь Е27. Освещение стандарта НП.,5,0.5
Industrial MAG-5,Tech,15 кВт. Для мастерских и небольших производств.,20,1.0
Infirmary Referral,Equipment,Форма Н-7. С подписью капитана.,5,0.5
Inflatable Life Raft,Equipment,Резиновый. 6 мест.,5,0.5
Injection Needle,Equipment,"Стальная, в спиртовой пробирке.",5,0.5
Ink Pad,Equipment,Пропитана чёрной тушью.,5,0.5
Inkstand,Equipment,"Мраморное основание, латунные крышки.",5,0.5
Insect Repellent,Equipment,От насекомых в южных угодьях.,5,0.5
Instant Coffee,Food,Сублимированный. Для полётных термосов.,10,0.3
Instant Mashed Potatoes,Equipment,В пакетах для полётного пайка. Залить кипятком.,5,0.5
Insulated Rifle Case,Equipment,С меховым вкладышем. Для зимних переходов.,5,0.5
Invoice,Equipment,Платёжный документ с печатью.,5,0.5
Iron Jaw Harp,Equipment,Якутский. Подарок с востока.,5,0.5
Ironbound Chest,Equipment,"Дубовый, с железными полосами.",5,0.5
Ironing Roller,Equipment,Деревянный. Для разглаживания.,5,0.5
Kefir,Food,"Кисломолочный продукт. В бутылках 0,5 л.",10,0.3
Kefir with Garlic,Food,Закуска под шнапс.,10,0.3
Kerosene Lantern Bat,Fuel,Ветрозащищённый. Для палубы.,10,0.5
Kerosene Oil Lamp,Fuel,Стеклянная колба + фитиль. Резервное освещение.,10,0.5
Key_heavyII_ship,Key,Ключ корабля HeavyII_03,20,1.0
Key_light_ship,Key,для типа зеленого корабля,20,1.0
Key_Ship_Medium,Key,Ключ корабля «Ship_Medium» (Medium),20,1.0
Key_Альбатрос,Key,Ключ корабля «Альбатрос» (Heavy),20,1.0
Key_Берег,Key,Ключ корабля «Берег» (Heavy),20,1.0
Key_Вавилон,Key,Ключ корабля «Вавилон» (HeavyII),20,1.0
Key_Ветроворот,Key,Ключ корабля «Ветроворот» (Heavy),20,1.0
Key_Гигант,Key,Ключ корабля «Гигант» (HeavyII),20,1.0
Key_Горгона,Key,Ключ корабля «Горгона» (Medium),20,1.0
Key_Жук,Key,Ключ корабля «Жук» (Medium),20,1.0
Key_Летучий,Key,Ключ корабля «Летучий» (Medium),20,1.0
Key_Лорейн,Key,Ключ корабля «Лорейн» (Light),20,1.0
Key_Мастодонт,Key,Ключ корабля «Мастодонт» (HeavyII),20,1.0
Key_Олимп,Key,Ключ корабля «Олимп» (Heavy),20,1.0
Key_Пещера,Key,Ключ корабля «Пещера» (HeavyII),20,1.0
Key_Река,Key,Ключ корабля «Река» (Heavy),20,1.0
Key_Сильфида,Key,Ключ корабля «Сильфида» (Medium),20,1.0
Key_Скат,Key,Ключ корабля «Скат» (Light),20,1.0
Key_Странник,Key,Ключ корабля «Странник» (Heavy),20,1.0
Key_Торренс,Key,Ключ корабля «Торренс» (Medium),20,1.0
Key_Угольщик,Key,Ключ корабля «Угольщик» (Medium),20,1.0
Key_Цитадель,Key,Ключ корабля «Цитадель» (Heavy),20,1.0
Key_Шмель,Key,Ключ корабля «Шмель» (Light),20,1.0
Kitchen Sieve,Equipment,"Волокнистое, в металлической рамке.",5,0.5
Knitting Needles,Equipment,"Стальные, 5 шт. Разные номера.",5,0.5
Kraft Paper Bag,Food,Для сыпучих продуктов.,10,0.3
Lab Alcohol Burner,Equipment,Стекло + фитиль. Для разогрева пробирок.,5,0.5
Lab Microscope,Equipment,Для анализа проб мезия. 40–400×.,5,0.5
Lab Stand,Equipment,"Стальной, с зажимами.",5,0.5
Ladle,Equipment,"Эмалированный, 0,5 л.",5,0.5
Landing Light,Food,"Галогеновая, для освещения ВПП паромов.",10,0.3
Large Thermos 2L,Food,Для супа.,10,0.3
Laundry Soap,Food,Брусок 200 г. Серого цвета.,10,0.3
Lazy Cabbage Rolls,Equipment,Капустные листы с фаршем и рисом.,5,0.5
Lead Seal,Equipment,Для опечатывания контейнеров.,5,0.5
Leather Flight Helmet,Food,"Полностью кожаный шлем с очками-консервами. Ранняя модель, ещё в ходу на старых паромах.",10,0.3
Leather Guild Tailcoat,Equipment,Парадный фрак из кожи — форма высших чинов Гильдий. Носится по особым случаям,5,0.5
Leather Jacket with Fur Inserts,Equipment,"Тёплая куртка из кожи с мехом, типичная одежда пилотов и грузчиков в холодных городах",5,0.5
Leather Wallet,Resources,С отделениями для сколов.,10,0.5
Leg Warmers,Equipment,На голень. Для тепла под брюки.,5,0.5
Lemonade Secundus Fresh,Food,Газированный напиток с лимонным соком.,10,0.3
Letter of Thanks,Equipment,С подписью начальника ГУ.,5,0.5
Letter Opener,Equipment,"Стальное лезвие, костяная ручка.",5,0.5
Letter Stencil,Equipment,"Пластиковый, набор букв А-Я.",5,0.5
Life Jacket,Equipment,На пробковом наполнителе.,5,0.5
Life Jacket Sign,Equipment,С пиктограммой. С креплением.,5,0.5
Lifebuoy Ring,Equipment,"Пробковый, обшитый брезентом.",5,0.5
Light Wetsuit,Equipment,Прорезиненный. Для работы под дождём и брызгами.,5,0.5
Lighter Spark,Fuel,"Латунная, с фитилём и кремнем.",10,0.5
Lightweight Canvas,Resources,"Тонкая, но прочная ткань для ранцев, сумок, обивки сидений.",50,1.0
Linen Napkin,Equipment,"Белая, крахмальная.",5,0.5
Linen Tablecloth,Equipment,На стол в кают-компании.,5,0.5
Liqueur Secundus Cream,Food,"Сливочный, 18 %. Сладкий десертный.",10,0.3
Liver Pate,Food,В металлических тубах. Намазывается на хлеб.,10,0.3
Loader's Baseball Cap,Equipment,С длинным козырьком. Логотип порта.,5,0.5
Loader's Headscarf,Equipment,Хлопковая косынка для защиты волос от масла и пыли.,5,0.5
Loader's Mittens,Equipment,Двупалые с усилением из кожи на ладони.,5,0.5
Lucky Farmer Token,Equipment,Лотерейный билет ГУ.,5,0.5
Machine Gun GS-MG,Equipment,"Ленточное питание, калибр 7,62. На треноге. Для обороны угодий.",5,0.5
MAG (Mezium-Antigrav Generator),Tech,"Генератор, преобразующий мезий и антигравий в постоянный электрический ток. Основа энергетики Новой Цивилизации, устанавливается на все летательные аппараты",5,0.5
MAG Contact Terminal,Tech,"Латунная, с винтовым зажимом. 10 шт.",5,0.5
MAG Frequency Converter,Tech,С МАГ-переменного в постоянный ток.,5,0.5
MAG Graphite Brushes,Tech,Комплект 4 шт. Расходная деталь.,20,1.0
MAG Startup Manual,Tech,Брошюра. На обложке — красная полоса.,5,0.5
MAG Technical Passport,Tech,"Дата изготовления, модель, мощность, заводской номер.",20,1.0
MAG-Powered Meat Grinder,Tech,Электрическая. Для камбуза.,5,0.5
MAG-S Welding Machine,Tech,Электродуговой. Питается от МАГ. Электроды в комплекте.,5,0.5
MAG-ZU Charger,Tech,Для восстановления аккумуляторов. Защита от перегрузки.,5,0.5
Mail Carrier Bag,Equipment,"Кожаная, через плечо. С клапаном.",5,0.5
Mail Satchel,Equipment,Кожаный ранец с клапаном и пряжкой. Носится курьерами.,5,0.5
Mailbox,Equipment,"Почтовый, настенный.",5,0.5
Map Case,Equipment,"Кожаный, на молнии.",5,0.5
Map Tube,Equipment,"Картонный, с крышкой. Длина 70 см.",5,0.5
Marked Metal Canister,Equipment,Контейнер с символами — эмблемой полукольца в круге. Содержит технические образцы,5,0.5
Marking Compass,Equipment,С винтовой фиксацией. Радиус до 200 мм.,5,0.5
Marking Stencil,Equipment,Пластиковый с буквами и цифрами.,5,0.5
Matchbox Holder,Equipment,"Латунная, с крышкой.",5,0.5
Matches Storm,Equipment,"Длинные, с серной головкой. Влагостойкие.",5,0.5
Mattress Cover,Equipment,"Хлопковый, на резинке.",5,0.5
Measuring Tape,Equipment,2 м. Ростомер.,5,0.5
Meat Pie,Food,Жареный в масле. Фарш + лук + специи.,10,0.3
Mechanic's Notebook,Equipment,В клетку. На спирали. 80 листов.,5,0.5
Mechanic's Vest,Equipment,Утеплённый жилет с 12 карманами для инструментов. Носится поверх комбинезона.,5,0.5
Mechanical Log,Food,Для измерения скорости парома.,10,0.3
Mechanical Sharpener,Equipment,Стальная с двумя отверстиями. Крепится к столу.,5,0.5
Mechanical Stopwatch,Equipment,Счётчик до 30 мин.,5,0.5
Mechanical Tonometer,Medical,С фонендоскопом.,10,0.1
Mechanical Watch,Tech,"Наручные часы с механизмом, используемые для хронометража и навигации",5,0.5
Medical Glass Cupping Jar,Medical,Для постановки банок на спину.,10,0.1
Medical Gloves,Medical,"Латексные, нестерильные. 100 шт.",10,0.1
Medical Probe,Medical,Для осмотра ран.,10,0.1
Mercury Thermometer,Medical,Шкала до +42 °C.,10,0.1
Mesh Bag,Food,Для овощей.,10,0.3
Metal Barrel 200L,Food,Для топлива. С заливной горловиной.,10,0.3
Metal Box with Rod,Equipment,Пульт дистанционного управления для запуска механизмов и дронов,5,0.5
Metal Document Case,Equipment,С замком. Размер А4.,5,0.5
Metal Drill Bit 6mm,Tech,Из инструментальной стали. Для МАГ-деталей.,5,0.5
Metal Flask with Chain,Equipment,"Небольшой металлический цилиндр на цепочке, носимый на запястье. Ключ-артефакт, содержит драгоценные образцы",5,0.5
Metal Handcuffs,Equipment,Оковы из металла для задержания и транспортировки заключённых,5,0.5
Metal Hip Flask,Equipment,"Небольшой металлический контейнер для воды или алкоголя, носится с собой",5,0.5
Metal Plumb Nib,Equipment,"Сменное. Стальное, с насечкой.",5,0.5
Metal Protractor,Equipment,"Шкала 0–180°, цена деления 1°.",5,0.5
Metal Pry Bar,Equipment,Лом 60 см.,5,0.5
Metal Stove Kettle,Food,"Эмалированный, 2 л.",10,0.3
Metal Zipper,Equipment,Длина 50 см. Для комбинезона.,5,0.5
Mezium,Meziy,"Вещество, расщепляющее любые органические соединения. Попало на Землю в 1930 году с метеоритами. Температура кипения ~17 °C. Широко применяется как источник энергии в Новой Цивилизации",20,1.0
Mezium Antidote M-7,Medical,Ампула 1 мл. Внутримышечно.,10,0.1
Mezium Burner,Tech,Работает на мезий-топливе. Температура до 1200 °C.,5,0.5
Mezium Catalyst M-K-01,Meziy,"Концентрированная форма, применяется при плавке антигравия. Ускоряет кристаллизацию поля.",10,0.5
Mezium Clearance Certificate,Medical,Медицинская форма №3. Действительна 1 месяц.,10,0.1
Mezium Fuel Cylinder,Fuel,"Стальной, 5 литров. С клапаном.",10,0.5
Mezium Fuel M-100,Fuel,Высокооктановая фракция для форсированных МАГ.,50,1.0
Mezium MAG Concentrate,Tech,Высокоэнергетическая взвесь. Заливается в коллекторы МАГ. Даёт до 40% прироста мощности.,20,1.0
Mezium Neutralizer N-7,Equipment,Химический состав для экстренной нейтрализации пролитого мезия. Обязателен в любой мастерской.,20,1.0
Mezium Oil,Food,Тягучая фракция мезия после отгонки. Используется как консервант и пропитка для такелажа.,20,0.5
Mezium Skin Neutralizer,Equipment,Гель в тубе. Немедленное применение.,20,1.0
Mezium-Resistant Sealant HM-200,Resources,На основе синтетических смол. Выдерживает прямой контакт с мезием до 40 часов.,50,1.0
Mica Sheet,Resources,Для смотровых окон печей.,10,0.5
Milk Can 20L,Equipment,"Алюминиевый, с крышкой.",5,0.5
Minced Cutlet,Equipment,Говядина + свинина. Подаётся с пюре.,5,0.5
Miner's Boots,Equipment,С металлическим носком и стальной пластиной в подошве.,5,0.5
Mineral Water Primium Spring,Food,Из горных скважин. Слабо газированная.,10,0.3
Mixed Meat Solyanka,Equipment,"Густой, острый. С лимоном.",5,0.5
MNP Coin 0.5,Tech,Магниево-никелевый сплав. Временная мелочь.,5,0.5
Moka Pot,Food,Алюминиевая. На плиту.,10,0.3
Mop,Equipment,С верёвочной насадкой.,5,0.5
Mosquito Net,Equipment,На липучке. Для южных рейсов.,5,0.5
Mountain Crystal Brooch,Equipment,Женское украшение. Оправка из мельхиора.,5,0.5
Mountain Herbal Tea,Food,"Мята, зверобой, ромашка, чабрец. Сбор с угодий.",10,0.3
Mountain Honey,Food,Гречишный и липовый. Пасеки Секунда.,10,0.3
Mountain Schnapps Alpen,Food,Двойная перегонка из картофеля. 42 %. Прозрачный.,10,0.3
Mountain Sweater,Equipment,Толстый шерстяной свитер грубой вязки. С фермерских угодий.,5,0.5
Mountain Wool,Equipment,Тёплая плотная ткань с фермерских угодий Гималаев. Идёт на верхнюю одежду и одеяла.,20,1.0
Mulled Wine Avalanche,Food,Красное вино + пряности + апельсин. Подаётся в отеле.,10,0.3
Multilayer Felt,Resources,Прессованная шерсть для изоляции корпусов и амортизации грузов.,50,1.0
Musical Instrument String,Equipment,Стальная. Комплект 6 шт.,5,0.5
Mustard Plasters,Equipment,Упаковка 10 шт.,5,0.5
Narrow Wardrobe,Equipment,Для каюты. Высота 180 см.,5,0.5
Nasal Vasoconstrictor Drops,Medical,Для адаптации к перепадам высоты.,10,0.1
Navigation Sextant,Tech,"Латунный, с зеркалами и фильтрами.",5,0.5
Navigation Slide Rule NL-10,Tech,Круглая логарифмическая для расчёта курса.,5,0.5
Navigator's Wristwatch,Equipment,С безелем и подсветкой.,5,0.5
Navy-Style Pasta,Equipment,С тушёнкой и луком. Любимое блюдо экипажей.,5,0.5
Needle File Set,Equipment,12 шт. Разного профиля. Для мелких работ.,5,0.5
Needle Valve,Equipment,Точная регулировка подачи мезия.,5,0.5
New Government Flag,Equipment,"Шёлковый, 1×1,5 м.",5,0.5
Newspaper Primium Courier,Equipment,Ежедневная. 4 страницы.,5,0.5
Nickel-Iron Battery Sh-25,Tech,"Щелочной, 25 Ач. Долгий срок службы.",5,0.5
Non-Spill Inkwell,Equipment,"Стеклянная, с коническим горлом.",5,0.5
NP Citizen Passport,Equipment,Картонный буклет с тиснением. Герб НП.,5,0.5
NP Meat Canned,Food,Тушёная говядина. Жестяная банка 350 г.,10,0.3
Oak Barrel 50L,Food,Для вина и шнапса. С обручами.,10,0.3
Oak Gunwale,Equipment,Поручень леерного ограждения. 3 м.,5,0.5
Oak Tub,Equipment,Для засолки. 30 л.,5,0.5
Oak Veneer,Resources,Для отделки кают и дорогой мебели в стиле старой Германии.,50,1.0
Oatmeal Cookies,Food,"Домашняя выпечка. Традиционное лакомство, часто берут в дорогу",10,0.3
Octo-Panel Cap,Equipment,Традиционная кепка с восемью клиньями. Популярна у механиков и ремесленников.,5,0.5
Octocap,Equipment,"Традиционный мужской головной убор, популярный среди жителей городов Новой Цивилизации",5,0.5
Officer's Cravat,Equipment,"Шёлковый платок для ношения под шинелью. Белый — ГС, синий — ГТ.",5,0.5
Oil Can,Equipment,"С длинным носиком. Ёмкость 0,5 л.",5,0.5
Oil Heater,Equipment,"Переносной. 1,5 кВт.",5,0.5
Oil Plumb Marker,Equipment,Для маркировки металла.,5,0.5
Oil Wick Lamp,Equipment,Примитивный светильник из гильзы.,5,0.5
Onboard First Aid Kit,Medical,Металлический ящик. Перечень содержимого на крышке.,10,0.1
Onboard Radio R-10,Tech,Дальность 200 км. Авиационный диапазон.,5,0.5
Open Apple Pie,Food,С корицей. Подаётся тёплым.,10,0.3
Open-End Wrench 10-12,Equipment,Двусторонний.,5,0.5
Outdoor Thermometer,Medical,Спиртовой. Шкала от –40 до +50 °C.,10,0.1
Oxygen Cylinder,Fuel,"Стальной, 2 л. Для высотных работ.",10,0.5
Oxygen Mask,Equipment,"Резиновая, с клапаном. В комплекте с баллоном.",5,0.5
Packed Bale,Equipment,Ткань + верёвка. 50 кг.,5,0.5
Packing Gland Material,Equipment,"Хлопковая, в жгутах 10 мм. 5 м.",5,0.5
Painkiller Tablets,Medical,В бумажном блистере. 10 шт.,10,0.1
Paper Clip,Equipment,"Стальная, 30 мм. Коробка 100 шт.",5,0.5
Paper Filter,Equipment,Диаметр 150 мм. 500 шт.,5,0.5
Paper Knife,Tech,С коротким лезвием. Стоящий.,5,0.5
Paper Tray,Tech,Металлический. Для входящих/исходящих.,5,0.5
Passenger Gangway,Equipment,"Облегчённый, с поручнями.",5,0.5
Pea Soup,Food,С сухариками. В термосе.,10,0.3
Permanent Plumb Marker,Equipment,Несмываемый состав на мезиевой основе. Маркировка контейнеров.,5,0.5
Phillips Screwdriver,Equipment,Под крест «Примум-стандарт». Для корпусов.,5,0.5
Photo Locket,Food,"Складной, с памятью о семье.",10,0.3
Photo Primium from Above,Equipment,"Картонная, 18×24.",5,0.5
Pickaxe,Tech,копать копателя онлайн 2,20,1.0
Pickled Mushrooms,Equipment,Белые и подосиновики. Собирают в горных рощах.,5,0.5
Pillowcase,Equipment,50×70. С клапаном.,5,0.5
Pilot Goggles,Food,Большие круглые очки в металлической оправе с кожаными нащёчниками.,10,0.3
Pilot's License,Food,Квалификация пилота парома. С вкладышами категорий.,10,0.3
Pine Rosin,Equipment,"Для пайки. Кусковая, 50 г.",5,0.5
Pipe Tobacco Primium Aroma,Food,Светлый виргинский с вишнёвой нотой.,10,0.3
Piping Diagram,Tech,Настенная. Для механика.,5,0.5
Pistol Duet,Equipment,"Двуствольный, калибр 5,6 мм. Для самообороны накоротке.",5,0.5
Pistol Hoffman-9 mod.2072,Tech,"Самый массовый пистолет Новой Цивилизации. Калибр 9 мм, магазин 12 патронов. Надёжен в условиях высокогорья.",5,0.5
Pistol Hoffman-9K,Equipment,Укороченная версия. Для скрытого ношения.,5,0.5
Pistol Lange-Compact,Equipment,"Карманный пистолет калибра 6,35 мм. 7 патронов. Для самообороны.",5,0.5
Pistol Walter-AG mod.2085,Equipment,С использованием антигравиевого сплава в рамке. Масса снижена до 450 г.,5,0.5
Plaid Wool Blanket,Resources,Для чтения в кресле.,10,0.5
Platform Turban,Equipment,Многослойная намотка шёлка. Адаптировано кочевниками с востока.,5,0.5
Playing Cards Ferry,Food,"36 карт, рубашка с якорем. Примумская печать.",10,0.3
Plumb,Equipment,Инструмент для письма из свинцовых сплавов. Повседневный письменный прибор в мире,5,0.5
Plumb Bob,Equipment,Латунный конус на шнурке. Длина шнурка 10 м.,5,0.5
Plumb Glass Writer,Resources,Для письма по стеклу и керамике. Острый наконечник.,50,1.0
Plumb Recorder,Equipment,Автоматический пламб с вращающимся грифелем. Для длительной записи.,5,0.5
Plumb Sharpener,Equipment,Настольное. С двумя абразивами.,5,0.5
Plumb Stand,Equipment,"Чугунная, 6 отверстий.",5,0.5
Pneumatic Rivet Gun,Equipment,Для забивки заклёпок.,5,0.5
Pocket Notebook,Equipment,Кожаный переплёт. 120 листов.,5,0.5
Pocket Watch with Chain,Equipment,С гравировкой владельца.,5,0.5
Polymer Sheet Plexi-AG,Resources,"Прозрачный, с антигравитационным напылением.",10,0.5
Porcelain Crucible,Equipment,Для плавки проб антигравия.,5,0.5
Porcelain Teapot,Food,С крышкой и носиком.,10,0.3
Port Access Token,Equipment,"Латунный, с буквой порта.",5,0.5
Port Area Pass,Equipment,"Картонный, с ламинированием. С фотографией.",5,0.5
Portable Gramophone,Food,С пружинным приводом и рупором.,10,0.3
