asset_path,line,category,evidence
"Assets/_Project/Scripts/Combat/Client/TargetHighlightService.cs",40,"lifecycle-placement","DontDestroyOnLoad(gameObject);"
"Assets/_Project/Scripts/Combat/Client/TargetLockService.cs",66,"spatial-member","public Vector3 position;"
"Assets/_Project/Scripts/Combat/Client/TargetLockService.cs",326,"spatial-member","private Vector3 GetPlayerPosition()"
"Assets/_Project/Scripts/Combat/Client/TargetLockService.cs",102,"position-access","transform.position,"
"Assets/_Project/Scripts/Combat/Client/TargetLockService.cs",234,"position-access","transform.position, GetPlayerPosition())"
"Assets/_Project/Scripts/Combat/Client/TargetLockService.cs",261,"position-access","e.position, playerPos);"
"Assets/_Project/Scripts/Combat/Client/TargetLockService.cs",275,"position-access","e.position - playerPos).normalized;"
"Assets/_Project/Scripts/Combat/Client/TargetLockService.cs",299,"position-access","transform.position - playerPos).sqrMagnitude;"
"Assets/_Project/Scripts/Combat/Client/TargetLockService.cs",306,"position-access","transform.position,"
"Assets/_Project/Scripts/Combat/Client/TargetLockService.cs",314,"position-access","transform.position - playerPos).sqrMagnitude;"
"Assets/_Project/Scripts/Combat/Client/TargetLockService.cs",321,"position-access","transform.position,"
"Assets/_Project/Scripts/Combat/Client/TargetLockService.cs",329,"position-access","transform.position : Vector3.zero;"
"Assets/_Project/Scripts/Combat/Client/TargetLockService.cs",79,"lifecycle-placement","DontDestroyOnLoad(gameObject);"
"Assets/_Project/Scripts/Combat/Client/ThrowArcVisual.cs",25,"spatial-member","private Vector3 _start;"
"Assets/_Project/Scripts/Combat/Client/ThrowArcVisual.cs",26,"spatial-member","private Vector3 _end;"
"Assets/_Project/Scripts/Combat/Client/ThrowArcVisual.cs",56,"position-access","transform.localPosition = Vector3.zero;"
"Assets/_Project/Scripts/Combat/Client/ThrowArcVisual.cs",91,"position-access","transform.position = pos;"
"Assets/_Project/Scripts/Combat/Client/ThrowArcVisual.cs",118,"position-access","transform.position = _end;"
"Assets/_Project/Scripts/Combat/Client/ThrowArcVisual.cs",32,"world-space-effects","LineRenderer _trail;"
"Assets/_Project/Scripts/Combat/Client/ThrowArcVisual.cs",66,"world-space-effects","LineRenderer>();"
"Assets/_Project/Scripts/Combat/Core/DamageResult.cs",49,"spatial-member","public Vector3 attackerPosition;"
"Assets/_Project/Scripts/Combat/Core/DamageResult.cs",50,"spatial-member","public Vector3 targetPosition;"
"Assets/_Project/Scripts/Combat/Core/TargetingService.cs",55,"physics-query","Physics.Raycast(origin, direction, out RaycastHit hit, maxDistance, mask, QueryTriggerInteraction.Ignore))"
"Assets/_Project/Scripts/Combat/Core/TargetingService.cs",177,"physics-query","Physics.OverlapSphere(origin, length, mask, QueryTriggerInteraction.Ignore);"
"Assets/_Project/Scripts/Combat/Core/TargetingService.cs",203,"physics-query","Physics.OverlapSphere(origin, radius, mask, QueryTriggerInteraction.Ignore);"
"Assets/_Project/Scripts/Combat/Core/TargetingService.cs",228,"physics-query","Physics.OverlapCapsule(origin, origin + forward * length, radius, mask, QueryTriggerInteraction.Ignore);"
"Assets/_Project/Scripts/Combat/Core/TargetingService.cs",257,"physics-query","Physics.OverlapBox(center, halfExtents, rot, mask, QueryTriggerInteraction.Ignore);"
"Assets/_Project/Scripts/Combat/Core/TargetingService.cs",81,"position-access","transform.position, cam.transform.forward, maxDistance, mask, out target, out hitPoint);"
"Assets/_Project/Scripts/Combat/Core/TargetingService.cs",85,"position-access","fallbackTransform.position, fallbackTransform.forward, maxDistance, mask, out target, out hitPoint);"
"Assets/_Project/Scripts/Combat/Core/TargetingService.cs",89,"position-access","transform.position + transform.forward."
"Assets/_Project/Scripts/Combat/Core/TargetingService.cs",102,"position-access","originTransform.position, originTransform.forward, maxDistance, mask, out target, out hitPoint);"
"Assets/_Project/Scripts/Combat/Implementations/NpcAttacker.cs",83,"spatial-member","public Vector3 GetPosition() => transform.position;"
"Assets/_Project/Scripts/Combat/Implementations/NpcAttacker.cs",83,"position-access","transform.position;"
"Assets/_Project/Scripts/Combat/Implementations/NpcTarget.cs",2,"network-variable","NetworkVariable<int> HP."
"Assets/_Project/Scripts/Combat/Implementations/NpcTarget.cs",21,"network-variable","NetworkVariable<int> _currentHp = new NetworkVariable<int>(30)"
"Assets/_Project/Scripts/Combat/Implementations/NpcTarget.cs",22,"network-variable","NetworkVariable<int> _maxHp = new NetworkVariable<int>(30)"
"Assets/_Project/Scripts/Combat/Implementations/NpcTarget.cs",83,"spatial-member","public Vector3 GetPosition() => transform.position;"
"Assets/_Project/Scripts/Combat/Implementations/NpcTarget.cs",83,"position-access","transform.position;"
"Assets/_Project/Scripts/Combat/Implementations/NpcTarget.cs",233,"position-access","transform.position + Vector3.up * 0.5f, Quaternion.identity);"
"Assets/_Project/Scripts/Combat/Implementations/NpcTarget.cs",240,"position-access","transform.position = transform.position + Vector3.up * 0.5f;"
"Assets/_Project/Scripts/Combat/Implementations/NpcTarget.cs",246,"position-access","transform.localPosition = Vector3.zero;"
"Assets/_Project/Scripts/Combat/Implementations/NpcTarget.cs",233,"lifecycle-placement","Instantiate(_lootPrefab, transform.position + Vector3.up * 0.5f, Quaternion.identity);"
"Assets/_Project/Scripts/Combat/Implementations/PlayerAttacker.cs",136,"spatial-member","public Vector3 GetPosition() => transform.position;"
"Assets/_Project/Scripts/Combat/Implementations/PlayerAttacker.cs",136,"position-access","transform.position;"
"Assets/_Project/Scripts/Combat/Implementations/PlayerTarget.cs",5,"network-variable","NetworkVariable<int>. ApplyDamage — server-only."
"Assets/_Project/Scripts/Combat/Implementations/PlayerTarget.cs",24,"network-variable","NetworkVariable<int> _currentHp = new NetworkVariable<int>(0)"
"Assets/_Project/Scripts/Combat/Implementations/PlayerTarget.cs",25,"network-variable","NetworkVariable<int> _maxHp = new NetworkVariable<int>(0)"
"Assets/_Project/Scripts/Combat/Implementations/PlayerTarget.cs",150,"spatial-member","public Vector3 GetPosition() => transform.position;"
"Assets/_Project/Scripts/Combat/Implementations/PlayerTarget.cs",150,"position-access","transform.position;"
"Assets/_Project/Scripts/Combat/Network/CombatServer.cs",171,"spatial-rpc-signature","public void RequestSkillCastAtPointRpc(string skillId, Vector3 targetPoint, ulong sourceId, RpcParams rpcParams = default)"
"Assets/_Project/Scripts/Combat/Network/CombatServer.cs",213,"physics-query","Physics.Raycast(attackerPos, toTarget.normalized,"
"Assets/_Project/Scripts/Combat/Network/CombatServer.cs",426,"physics-query","Physics.Raycast(attackerPos, toPreferred.normalized,"
"Assets/_Project/Scripts/Combat/Network/CombatServer.cs",515,"physics-query","Physics.Raycast(attackerPos, toTarget.normalized,"
"Assets/_Project/Scripts/Combat/Network/CombatServer.cs",683,"spatial-member","private static Vector3 ClosestPointOnSegment(Vector3 a, Vector3 b, Vector3 point)"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",2,"network-serialization","INetworkSerializable структура для передачи DamageResult по сети."
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",13,"network-serialization","INetworkSerializable"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",36,"network-serialization","NetworkSerialize<T>(BufferSerializer<T> serializer) where T : IReaderWriter"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",38,"network-serialization","SerializeValue(ref baseAttack);"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",39,"network-serialization","SerializeValue(ref diceRoll);"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",40,"network-serialization","SerializeValue(ref strengthContribution);"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",41,"network-serialization","SerializeValue(ref baseContribution);"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",42,"network-serialization","SerializeValue(ref locMult);"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",43,"network-serialization","SerializeValue(ref critMult);"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",44,"network-serialization","SerializeValue(ref skillMult);"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",45,"network-serialization","SerializeValue(ref hitChance);"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",46,"network-serialization","SerializeValue(ref preDefenseDamage);"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",47,"network-serialization","SerializeValue(ref effectiveDefense);"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",48,"network-serialization","SerializeValue(ref finalDamage);"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",49,"network-serialization","SerializeValue(ref isCrit);"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",50,"network-serialization","SerializeValue(ref isHit);"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",51,"network-serialization","SerializeValue(ref hitLocation);"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",52,"network-serialization","SerializeValue(ref damageType);"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",53,"network-serialization","SerializeValue(ref attackerId);"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",54,"network-serialization","SerializeValue(ref targetId);"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",55,"network-serialization","SerializeValue(ref sourceId);"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",56,"network-serialization","SerializeValue(ref attackerPosition);"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",57,"network-serialization","SerializeValue(ref targetPosition);"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",33,"spatial-member","public Vector3 attackerPosition;"
"Assets/_Project/Scripts/Combat/Network/DamageResultDto.cs",34,"spatial-member","public Vector3 targetPosition;"
"Assets/_Project/Scripts/Core/ChestContainer.cs",22,"spatial-member","public Vector3 openRotationOffset = new Vector3(0, 0, -45f);"
"Assets/_Project/Scripts/Core/ChestContainer.cs",23,"spatial-member","public Vector3 openScaleOffset = new Vector3(0.1f, 0.1f, 0.1f);"
"Assets/_Project/Scripts/Core/ChestContainer.cs",26,"spatial-member","private Vector3 _startRotation;"
"Assets/_Project/Scripts/Core/ChestContainer.cs",27,"spatial-member","private Vector3 _startScale;"
"Assets/_Project/Scripts/Core/ChestContainer.cs",34,"spatial-member","public Vector3 Position => transform.position;"
"Assets/_Project/Scripts/Core/ChestContainer.cs",34,"position-access","transform.position;"
"Assets/_Project/Scripts/Core/ChestContainer.cs",131,"position-access","transform.position, openRadius);"
"Assets/_Project/Scripts/Core/CloudLayer.cs",231,"spatial-member","private Vector3 GenerateCloudPosition()"
"Assets/_Project/Scripts/Core/CloudLayer.cs",169,"position-access","transform.position = position;"
"Assets/_Project/Scripts/Core/CloudLayer.cs",257,"position-access","transform.position += movement;"
"Assets/_Project/Scripts/Core/CloudLayer.cs",260,"position-access","transform.position.magnitude > 15000f)"
"Assets/_Project/Scripts/Core/CloudLayer.cs",262,"position-access","transform.position.normalized * 10000f;"
"Assets/_Project/Scripts/Core/CloudLayer.cs",263,"position-access","transform.position = opposite;"
"Assets/_Project/Scripts/Core/CloudLayerConfig.cs",54,"spatial-member","public Vector3 moveDirection = new Vector3(1f, 0f, 0f);"
"Assets/_Project/Scripts/Core/CloudManager.cs",210,"spatial-member","private Vector3 GetPlayerPosition()"
"Assets/_Project/Scripts/Core/CloudManager.cs",213,"position-access","transform.position : Vector3.zero;"
"Assets/_Project/Scripts/Core/CloudManager.cs",87,"lifecycle-placement","DontDestroyOnLoad(gameObject);"
"Assets/_Project/Scripts/Core/CloudSpherePhysics.cs",16,"spatial-member","private Vector3 _basePosition;"
"Assets/_Project/Scripts/Core/CloudSpherePhysics.cs",17,"spatial-member","private Vector3 _displacement;"
"Assets/_Project/Scripts/Core/CloudSpherePhysics.cs",36,"position-access","transform.position;"
"Assets/_Project/Scripts/Core/CloudSpherePhysics.cs",50,"position-access","transform.position - fromDirection).normalized;"
"Assets/_Project/Scripts/Core/CloudSpherePhysics.cs",71,"position-access","transform.position, _cachedPlayer.position);"
"Assets/_Project/Scripts/Core/CloudSpherePhysics.cs",74,"position-access","_cachedPlayer.position);"
"Assets/_Project/Scripts/Core/CloudSpherePhysics.cs",80,"position-access","transform.position - _basePosition;"
"Assets/_Project/Scripts/Core/DayNight/ConstellationController.cs",164,"spatial-member","private Vector3 SphericalToLocalDirection(float azimuthDeg, float altitudeDeg)"
"Assets/_Project/Scripts/Core/DayNight/ConstellationController.cs",156,"position-access","transform.localPosition = Vector3.zero;"
"Assets/_Project/Scripts/Core/DayNight/ConstellationController.cs",320,"position-access","transform.localPosition = Vector3.zero;"
"Assets/_Project/Scripts/Core/DayNight/ConstellationController.cs",375,"position-access","transform.position;"
"Assets/_Project/Scripts/Core/DayNight/ConstellationController.cs",382,"position-access","transform.position = domeWorldPos;"
"Assets/_Project/Scripts/Core/DayNight/ConstellationController.cs",544,"position-access","transform.position"
"Assets/_Project/Scripts/Core/DayNight/ConstellationController.cs",545,"position-access","transform.position + Vector3.up * skyDomeHeightOffset : Vector3.zero);"
"Assets/_Project/Scripts/Core/DayNight/ConstellationController.cs",553,"position-access","transform.position, domePos);"
"Assets/_Project/Scripts/Core/DayNight/ConstellationController.cs",81,"lifecycle-placement","DontDestroyOnLoad(gameObject);"
"Assets/_Project/Scripts/Core/DayNight/ConstellationController.cs",86,"lifecycle-placement","DontDestroyOnLoad(_skyDomeObject);"
"Assets/_Project/Scripts/Core/DayNight/ConstellationController.cs",161,"lifecycle-placement","DontDestroyOnLoad(_skyDomeObject);"
"Assets/_Project/Scripts/Core/DayNight/ConstellationController.cs",66,"world-space-effects","LineRenderer[] _constellationLines;"
"Assets/_Project/Scripts/Core/DayNight/ConstellationController.cs",295,"world-space-effects","LineRenderer> lines = new List<LineRenderer>();"
"Assets/_Project/Scripts/Core/DayNight/ConstellationController.cs",323,"world-space-effects","LineRenderer lr = lineObj.AddComponent<LineRenderer>();"
"Assets/_Project/Scripts/Core/DayNight/ConstellationController.cs",331,"world-space-effects","useWorldSpace = false;"
"Assets/_Project/Scripts/Core/DayNight/ConstellationData.cs",12,"spatial-member","public Vector2 sphericalPosition;"
"Assets/_Project/Scripts/Core/DayNight/DayNightController.cs",911,"spatial-member","public Vector3 GetSunDirection()"
"Assets/_Project/Scripts/Core/DayNight/DayNightController.cs",222,"position-access","transform.localPosition = Vector3.zero;"
"Assets/_Project/Scripts/Core/DayNight/DayNightController.cs",262,"position-access","transform.localPosition = Vector3.zero;"
"Assets/_Project/Scripts/Core/DayNight/DayNightController.cs",186,"lifecycle-placement","Instantiate(dayVolumeProfile) : null;"
"Assets/_Project/Scripts/Core/DayNight/DayNightController.cs",187,"lifecycle-placement","Instantiate(nightVolumeProfile) : null;"
"Assets/_Project/Scripts/Core/DayNight/DayNightController.cs",188,"lifecycle-placement","Instantiate(twilightVolumeProfile) : null;"
"Assets/_Project/Scripts/Core/DayNight/MoonController.cs",22,"spatial-member","public Vector3 selfRotationAxis = Vector3.up;"
"Assets/_Project/Scripts/Core/DayNight/MoonController.cs",149,"position-access","transform.position = new Vector3(x, y, z);"
"Assets/_Project/Scripts/Core/DayNight/MoonController.cs",161,"position-access","transform.position = transform.position;"
"Assets/_Project/Scripts/Core/DayNight/TimeOfDayPhase.cs",27,"spatial-member","public Vector3 sunRotationOffset = Vector3.zero;"
"Assets/_Project/Scripts/Core/DayNight/TimeOfDayPhase.cs",74,"spatial-member","public Vector2 hueShiftRange = new Vector2(-0.05f, 0.05f);"
"Assets/_Project/Scripts/Core/DayNight/TimeOfDayPhase.cs",75,"spatial-member","public Vector2 saturationRange = new Vector2(0.8f, 1.2f);"
"Assets/_Project/Scripts/Core/DayNight/TimeOfDayPhase.cs",76,"spatial-member","public Vector2 intensityRange = new Vector2(0.85f, 1.15f);"
"Assets/_Project/Scripts/Core/DistantCloudManager.cs",18,"spatial-member","public Vector2 RotationRangeY = new Vector2(0f, 360f);"
"Assets/_Project/Scripts/Core/DistantCloudManager.cs",37,"spatial-member","public Vector3 Scale;"
"Assets/_Project/Scripts/Core/DistantCloudManager.cs",48,"spatial-member","private Vector3 _windDir = Vector3.right;"
"Assets/_Project/Scripts/Core/DistantCloudManager.cs",258,"spatial-member","private Vector3 GetPlayerPosition()"
"Assets/_Project/Scripts/Core/DistantCloudManager.cs",261,"position-access","transform.position : Vector3.zero;"
"Assets/_Project/Scripts/Core/EventCloud.cs",97,"position-access","transform.position, _eventPattern, _intensity);"
"Assets/_Project/Scripts/Core/EventCloud.cs",100,"position-access","transform.position} with pattern {_eventPattern.name}"");"
"Assets/_Project/Scripts/Core/GameTimeData.cs",12,"network-serialization","INetworkSerializable"
"Assets/_Project/Scripts/Core/GameTimeData.cs",106,"network-serialization","NetworkSerialize<T>(BufferSerializer<T> serializer) where T : IReaderWriter"
"Assets/_Project/Scripts/Core/GameTimeData.cs",108,"network-serialization","SerializeValue(ref Year);"
"Assets/_Project/Scripts/Core/GameTimeData.cs",109,"network-serialization","SerializeValue(ref Month);"
"Assets/_Project/Scripts/Core/GameTimeData.cs",110,"network-serialization","SerializeValue(ref Day);"
"Assets/_Project/Scripts/Core/GameTimeData.cs",111,"network-serialization","SerializeValue(ref DayOfYear);"
"Assets/_Project/Scripts/Core/GameTimeData.cs",112,"network-serialization","SerializeValue(ref Weekday);"
"Assets/_Project/Scripts/Core/InteractableManager.cs",76,"position-access","transform.position - position).sqrMagnitude;"
"Assets/_Project/Scripts/Core/InteractableManager.cs",172,"position-access","transform.position);"
"Assets/_Project/Scripts/Core/InteractableManager.cs",224,"position-access","transform.position);"
"Assets/_Project/Scripts/Core/InteractableManager.cs",252,"position-access","transform.position);"
"Assets/_Project/Scripts/Core/InteractableManager.cs",280,"position-access","transform.position);"
"Assets/_Project/Scripts/Core/InteractableManager.cs",310,"position-access","transform.position);"
"Assets/_Project/Scripts/Core/InteractableManager.cs",334,"position-access","transform.position);"
"Assets/_Project/Scripts/Core/InventoryData.cs",14,"network-serialization","INetworkSerializable"
"Assets/_Project/Scripts/Core/InventoryData.cs",19,"network-serialization","NetworkSerialize<T>(BufferSerializer<T> serializer) where T : IReaderWriter"
"Assets/_Project/Scripts/Core/InventoryData.cs",21,"network-serialization","SerializeValue(ref itemId);"
"Assets/_Project/Scripts/Core/InventoryData.cs",22,"network-serialization","SerializeValue(ref instanceId);"
"Assets/_Project/Scripts/Core/InventoryData.cs",31,"network-serialization","INetworkSerializable для надёжной синхронизации."
"Assets/_Project/Scripts/Core/InventoryData.cs",35,"network-serialization","INetworkSerializable"
"Assets/_Project/Scripts/Core/InventoryData.cs",290,"network-serialization","INetworkSerializable ===================="
"Assets/_Project/Scripts/Core/InventoryData.cs",292,"network-serialization","NetworkSerialize<T>(BufferSerializer<T> serializer) where T : IReaderWriter"
"Assets/_Project/Scripts/Core/InventoryData.cs",312,"network-serialization","SerializeValue(ref count);"
"Assets/_Project/Scripts/Core/InventoryData.cs",319,"network-serialization","SerializeValue(ref id);"
"Assets/_Project/Scripts/Core/InventoryData.cs",331,"network-serialization","SerializeValue(ref count);"
"Assets/_Project/Scripts/Core/InventoryData.cs",337,"network-serialization","SerializeValue(ref id);"
"Assets/_Project/Scripts/Core/InventoryData.cs",349,"network-serialization","SerializeValue(ref count);"
"Assets/_Project/Scripts/Core/InventoryData.cs",356,"network-serialization","NetworkSerialize(serializer);"
"Assets/_Project/Scripts/Core/InventoryData.cs",368,"network-serialization","SerializeValue(ref count);"
"Assets/_Project/Scripts/Core/InventoryData.cs",374,"network-serialization","NetworkSerialize(serializer);"
"Assets/_Project/Scripts/Core/ItemType.cs",73,"spatial-member","public Vector3 attachPositionOffset = Vector3.zero;"
"Assets/_Project/Scripts/Core/ItemType.cs",76,"spatial-member","public Vector3 attachRotationOffset = Vector3.zero;"
"Assets/_Project/Scripts/Core/ItemType.cs",80,"spatial-member","public Vector3 attachScale = Vector3.one;"
"Assets/_Project/Scripts/Core/NearCloudRenderer.cs",44,"spatial-member","public Vector2 RotationX = new Vector2(0f, 0f);"
"Assets/_Project/Scripts/Core/NearCloudRenderer.cs",45,"spatial-member","public Vector2 RotationY = new Vector2(0f, 360f);"
"Assets/_Project/Scripts/Core/NearCloudRenderer.cs",46,"spatial-member","public Vector2 RotationZ = new Vector2(0f, 0f);"
"Assets/_Project/Scripts/Core/NearCloudRenderer.cs",51,"spatial-member","public Vector3 Scale;"
"Assets/_Project/Scripts/Core/NearCloudRenderer.cs",61,"spatial-member","private Vector3 _windDir = Vector3.right;"
"Assets/_Project/Scripts/Core/NearCloudRenderer.cs",312,"spatial-member","private Vector3 GetPlayerPosition()"
"Assets/_Project/Scripts/Core/NearCloudRenderer.cs",230,"position-access","transform.position;"
"Assets/_Project/Scripts/Core/NearCloudRenderer.cs",315,"position-access","transform.position : Vector3.zero;"
"Assets/_Project/Scripts/Core/NearCloudRenderer.cs",285,"lifecycle-placement","Instantiate(go.GetComponent<MeshFilter>().sharedMesh);"
"Assets/_Project/Scripts/Core/NearCloudRenderer.cs",292,"lifecycle-placement","Instantiate(go.GetComponent<MeshFilter>().sharedMesh);"
"Assets/_Project/Scripts/Core/NetworkManagerController.cs",73,"lifecycle-placement","DontDestroyOnLoad(gameObject);"
"Assets/_Project/Scripts/Core/NetworkManagerController.cs",187,"lifecycle-placement","DontDestroyOnLoad(gameObject) — это работает ТОЛЬКО если GO root."
"Assets/_Project/Scripts/Core/NetworkManagerController.cs",284,"lifecycle-placement","DontDestroyOnLoad(go);"
"Assets/_Project/Scripts/Core/NetworkManagerController.cs",718,"lifecycle-placement","DontDestroyOnLoad(go);"
"Assets/_Project/Scripts/Core/NetworkManagerController.cs",734,"lifecycle-placement","DontDestroyOnLoad(go);"
"Assets/_Project/Scripts/Core/NetworkManagerController.cs",761,"lifecycle-placement","DontDestroyOnLoad(go);"
"Assets/_Project/Scripts/Core/NetworkManagerController.cs",777,"lifecycle-placement","DontDestroyOnLoad(go);"
"Assets/_Project/Scripts/Core/NetworkManagerController.cs",793,"lifecycle-placement","DontDestroyOnLoad(go);"
"Assets/_Project/Scripts/Core/PickupDeckRide.cs",74,"spatial-member","private Vector3 _platformLastPos;"
"Assets/_Project/Scripts/Core/PickupDeckRide.cs",76,"spatial-member","private Vector3 _worldBasePosition; // база для бобаинга когда не на палубе"
"Assets/_Project/Scripts/Core/PickupDeckRide.cs",96,"spatial-member","public Vector3 WorldBasePosition => _worldBasePosition;"
"Assets/_Project/Scripts/Core/PickupDeckRide.cs",10,"position-access","transform.position."
"Assets/_Project/Scripts/Core/PickupDeckRide.cs",32,"position-access","transform.position, если DeckParent != null."
"Assets/_Project/Scripts/Core/PickupDeckRide.cs",81,"position-access","transform.position (carry делает это сам).</summary>"
"Assets/_Project/Scripts/Core/PickupDeckRide.cs",86,"position-access","transform.position (= бобаинг в свободном режиме)."
"Assets/_Project/Scripts/Core/PickupDeckRide.cs",92,"position-access","transform.position;"
"Assets/_Project/Scripts/Core/PickupDeckRide.cs",100,"position-access","transform.position;"
"Assets/_Project/Scripts/Core/PickupDeckRide.cs",131,"position-access","transform.position + Vector3.up * _probeRadius;"
"Assets/_Project/Scripts/Core/PickupDeckRide.cs",141,"position-access","transform.position})"");"
"Assets/_Project/Scripts/Core/PickupDeckRide.cs",155,"position-access","platform.position;"
"Assets/_Project/Scripts/Core/PickupDeckRide.cs",157,"position-access","transform.position})"");"
"Assets/_Project/Scripts/Core/PickupDeckRide.cs",164,"position-access","transform.position,"
"Assets/_Project/Scripts/Core/PickupDeckRide.cs",170,"position-access","transform.position += deltaPos;"
"Assets/_Project/Scripts/Core/PickupDeckRide.cs",177,"position-access","platform.position;"
"Assets/_Project/Scripts/Core/PickupDeckRide.cs",18,"lifecycle-placement","TrySetParent (2026-07-02, R1-fix-fail):"
"Assets/_Project/Scripts/Core/PickupItem.cs",11,"network-variable","NetworkVariable<InventoryData> → InventoryClientState.OnSnapshotUpdated"
"Assets/_Project/Scripts/Core/PickupItem.cs",47,"spatial-member","private Vector3 _startPosition;"
"Assets/_Project/Scripts/Core/PickupItem.cs",56,"spatial-member","public Vector3 Position => transform.position;"
"Assets/_Project/Scripts/Core/PickupItem.cs",56,"position-access","transform.position;"
"Assets/_Project/Scripts/Core/PickupItem.cs",60,"position-access","transform.position;"
"Assets/_Project/Scripts/Core/PickupItem.cs",114,"position-access","transform.localPosition = Vector3.zero;"
"Assets/_Project/Scripts/Core/PickupItem.cs",136,"position-access","transform.position — LateUpdate PickupDeckRide сам"
"Assets/_Project/Scripts/Core/PickupItem.cs",147,"position-access","transform.position = _deckRide.WorldBasePosition + bob;"
"Assets/_Project/Scripts/Core/PickupItem.cs",215,"position-access","transform.position,"
"Assets/_Project/Scripts/Core/PickupItem.cs",266,"position-access","transform.position, interactionRadius);"
"Assets/_Project/Scripts/Core/PickupItem.cs",33,"lifecycle-placement","Instantiate (см. InventoryServer.RequestDropRpc)"
"Assets/_Project/Scripts/Core/PickupItem.cs",110,"lifecycle-placement","Instantiate(itemData.visualPrefab, transform);"
"Assets/_Project/Scripts/Core/PlatformRideHelper.cs",23,"physics-query","Physics.SphereCast(origin, radius, Vector3.down, out RaycastHit hit,"
"Assets/_Project/Scripts/Core/PlatformRideHelper.cs",37,"spatial-member","public static Vector3 ComputeCarryDelta("
"Assets/_Project/Scripts/Core/PlatformRideHelper.cs",42,"position-access","platform.position - lastPos;"
"Assets/_Project/Scripts/Core/PlatformRideHelper.cs",51,"position-access","platform.position;"
"Assets/_Project/Scripts/Core/ServerStormManager.cs",220,"spatial-rpc-signature","private void StormSpawnClientRpc(ushort id, Vector3 worldPosition, float intensity, string patternGUID)"
"Assets/_Project/Scripts/Core/ServerStormManager.cs",256,"spatial-rpc-signature","private void SyncStormStatesClientRpc(ushort[] ids, Vector3[] positions, float[] intensities)"
"Assets/_Project/Scripts/Core/ServerStormManager.cs",296,"spatial-rpc-signature","private void EventCloudSpawnClientRpc(ushort id, Vector3 worldPosition, float intensity, string patternGUID, string eventId)"
"Assets/_Project/Scripts/Core/ServerStormManager.cs",49,"spatial-member","public Vector3 WorldPosition;"
"Assets/_Project/Scripts/Core/ServerStormManager.cs",231,"lifecycle-placement","Instantiate(_stormControllerPrefab, worldPosition, Quaternion.identity);"
"Assets/_Project/Scripts/Core/ServerStormManager.cs",306,"lifecycle-placement","Instantiate(_stormControllerPrefab, worldPosition, Quaternion.identity);"
"Assets/_Project/Scripts/Core/ServerWeatherController.cs",214,"spatial-rpc-signature","private void BroadcastWindClientRpc(Vector3 direction, float speed)"
"Assets/_Project/Scripts/Core/ServerWeatherController.cs",20,"spatial-member","private Vector3 _windDirection = Vector3.right;"
"Assets/_Project/Scripts/Core/ShipPosition/PlayerPositionServer.cs",191,"physics-query","Physics.SyncTransforms();"
"Assets/_Project/Scripts/Core/ShipPosition/PlayerPositionServer.cs",189,"position-access","transform.position = position;"
"Assets/_Project/Scripts/Core/ShipPosition/PlayerPositionServer.cs",44,"lifecycle-placement","DontDestroyOnLoad(gameObject);"
"Assets/_Project/Scripts/Core/ShipPosition/ShipPositionServer.cs",203,"position-access","rb.position = new Vector3(data.px, data.py, data.pz);"
"Assets/_Project/Scripts/Core/ShipPosition/ShipPositionServer.cs",253,"position-access","transform.position.x,"
"Assets/_Project/Scripts/Core/ShipPosition/ShipPositionServer.cs",254,"position-access","transform.position.y,"
"Assets/_Project/Scripts/Core/ShipPosition/ShipPositionServer.cs",255,"position-access","transform.position.z,"
"Assets/_Project/Scripts/Core/ShipPosition/ShipPositionServer.cs",69,"lifecycle-placement","DontDestroyOnLoad(gameObject);"
"Assets/_Project/Scripts/Core/SpringArmCamera.cs",409,"physics-query","Physics.SphereCast(castOrigin, sphereCastRadius, dir, out RaycastHit hitInfo, remainingDist, collisionMask, QueryTriggerInteraction.Ignore))"
